sample_id,mse,ssim,psnr,pixcorr,fid,clip_similarity
0,0.3220576047897339,0.17639026864657173,10.941264351382618,0.22656271,0.05748671,0.8909928
1,0.3348354399204254,0.24059715995243713,10.772285781791016,0.50284487,0.06334266,0.8646981
2,0.2780185341835022,0.2725091836247343,11.579862748697717,0.5191905,0.03965404,0.855735
3,0.3127296268939972,0.2850067033073136,11.068909861961604,0.5714214,0.056270387,0.8678293
4,0.29562151432037354,0.23188484827286712,11.313239368129766,0.33360296,0.056832623,0.9288435
5,0.27794381976127625,0.30480376299995493,11.581029579643475,0.49455148,0.056298926,0.9420795
6,0.352996826171875,0.2315885173981867,10.542892029709613,0.32739633,0.052089095,0.8426575
7,0.32617509365081787,0.23288455503234592,10.886091826143412,0.3428484,0.045834698,0.8563513
8,0.35962414741516113,0.16936838608773902,10.462111418169552,0.2549217,0.047418036,0.82698953
9,0.28234657645225525,0.30018919383652876,11.512774903690872,0.45976484,0.05821456,0.9477466
10,0.18900050222873688,0.36685849161970635,13.255970488798132,0.5296719,0.009207837,0.89368933
11,0.33284246921539307,0.2457304443223094,10.798213048312617,0.3704199,0.055145603,0.8793926
12,0.4496912956237793,0.348347907242979,9.491455392457128,0.40312862,0.01203703,0.70597404
13,0.29032665491104126,0.38562293983380164,11.391730505889656,0.69347745,0.06253447,0.9509415
14,0.2461061030626297,0.29171618957203344,12.109375992457828,0.47089374,0.041092444,0.91834426
15,0.27330461144447327,0.33516116687943315,11.654130564844268,0.5855672,0.055978853,0.93676585
16,0.22285255789756775,0.22664376639872635,12.540423881865419,0.40152565,0.02790185,0.90524954
17,0.29825136065483093,0.25524136762005806,11.274775818098302,0.34499267,0.05057395,0.9003876
18,0.2622649669647217,0.22654689026805033,11.833197239945433,0.31493968,0.04604388,0.9257127
19,0.28561878204345703,0.3922348951541796,11.46273255485697,0.61977506,0.047274813,0.8885636
20,0.2624375820159912,0.3127557473562173,11.83033980937098,0.53242445,0.050877288,0.929957
21,0.2932300269603729,0.32488021005593504,11.348515694760916,0.5138921,0.060143262,0.93768764
22,0.24229446053504944,0.349294814574519,12.177164664356685,0.58634514,0.04246156,0.914675
23,0.2833307683467865,0.29042381146530166,11.497662430625912,0.46416593,0.054445848,0.92239577
24,0.34541597962379456,0.11489738918533492,10.637175785774687,0.12089943,0.0546299,0.8629388
25,0.27918538451194763,0.27320105621825963,11.561672999591696,0.46402377,0.056573056,0.94508386
