sample_id,mse,ssim,psnr,pixcorr,fid,clip_similarity
0,0.02544667199254036,0.8613232198548465,21.974583915367432,0.9839907,0.00019655401,0.9866258
1,0.04712866619229317,0.9633416432487077,19.288472383480233,0.9762831,0.0012436615,0.97411263
2,0.00782194547355175,0.7010129791692146,27.09674424034945,0.99440026,0.00082890375,0.996924
3,0.01652693934738636,0.9740690763824242,23.84264071231215,0.99204457,0.0011029306,0.99128795
4,0.03243087977170944,0.7549754403038951,20.931681389566428,0.9770334,0.0016523986,0.98489153
5,0.02200634405016899,0.963489902290431,22.59814271877466,0.9893044,0.0014308918,0.9883203
6,0.04073825106024742,0.9641951868110452,19.922317382076887,0.97994524,0.0015948381,0.9772585
7,0.028213510289788246,0.9720318965182817,21.51793634982519,0.9846773,0.00033286196,0.9841992
8,0.13420255482196808,0.8948473918043878,14.743647536061966,0.92715365,0.0052238917,0.9220315
9,0.05518515408039093,0.6881346713582223,18.617873754804823,0.93908274,0.0011893316,0.97093207
10,0.0059310998767614365,0.5777959568687707,28.29558697491256,0.99396,0.0006550212,0.99791765
11,0.052622634917497635,0.6822235236821834,18.819785457326336,0.9359105,0.001586323,0.9733291
